18:23:46:676 [ALWAYS]	GUDE Logging Started
18:23:46:676 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:23:46:676 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:23:46:676 [ERROR]	Initialize resume cache pointer failure
18:23:46:676 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:23:46:676 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:23:48:268 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:23:48:268 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:23:48:268 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:23:48:269 [ERROR]	Initialize resume cache pointer failure
18:23:48:269 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:23:48:269 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
